index,street_name,area,city,price,size,type,date,lat,lng,alt
26,Höganäsgatan 3A,Höganäs,Uppsala,3100000.0,68.0,Lägenhet,2025-05-30,59.8641862,17.6397093,0.0
27,Glimmergränd 7,Färingsö Stenhamra,Ekerö,1850000.0,43.0,Villa,2025-05-30,59.3359797,17.6784311,0.0
28,Granitvägen 8A,Tyresö Centrum,Tyresö,2495000.0,106.0,Lägenhet,2025-05-30,59.24047050000001,18.2225256,0.0
29,Mirandagatan 16,Bergsjön,Göteborg,2500000.0,119.0,Radhus,2025-05-30,57.7497063,12.0674453,0.0
30,Portalgatan 92,Kapellgärdet,Uppsala,1895000.0,42.0,Lägenhet,2025-05-30,59.8716484,17.6382051,0.0
31,Fyrtornsgatan 3C,Lillåudden,Västerås,2300000.0,49.0,Lägenhet,2025-05-30,59.6050187,16.5582551,0.0
32,Östra Åsgatan 13,Nyfors,Eskilstuna,615000.0,54.3,Lägenhet,2025-05-30,59.3679801,16.5067836,0.0
33,Spekeröds Torp 106,Spekeröd,Stenungsund,4600000.0,172.0,Villa,2025-05-30,58.043187,11.9179846,0.0
0,Österlenvägen 941,Hagestad,Ystad,4000000.0,439.0,Villa,2025-05-30,55.4304804,14.1309376,0.0
1,Fredhällsgatan 1,Fredhäll,Stockholm,6000000.0,68.0,Lägenhet,2025-05-30,59.33140149999999,18.0023224,0.0
2,Wilhelm Kåges gata 9,Värmdö kommun,Värmdö,5000000.0,97.0,Lägenhet,2025-05-29,59.32146030000001,18.3848412,0.0
3,Örsvängen 3,Ör,Sundbyberg,2550000.0,74.0,Lägenhet,2025-05-29,59.37383639999999,17.9803173,0.0
4,Fritiof Anderssons gata 9,Hisingen,Göteborg,4500000.0,81.6,Lägenhet,2025-05-29,57.6999952,11.905876,0.0
5,Adolf Fredriks Kyrkogata 3,Norrmalm,Stockholm,7775000.0,52.0,Lägenhet,2025-05-29,59.33774999999999,18.062623,0.0
6,Årstavägen 131,Årsta,Stockholm,3810000.0,58.0,Lägenhet,2025-05-29,59.30045,18.0405322,0.0
7,Robert Almströmsgatan 6,Birkastan,Stockholm,8700000.0,62.0,Lägenhet,2025-05-29,59.3388001,18.0337599,0.0
8,Sankt Göransgatan 33A,Uppsala,,2450000.0,48.0,Lägenhet,2025-05-29,59.3329332,18.0332201,0.0
9,Resedavägen 1,Ekerö Sommarstad,Ekerö,8300000.0,185.6,Villa,2025-05-29,59.2774227,17.7370272,0.0
10,Ågatan 11,Sundbyberg,,6750000.0,99.0,Lägenhet,2025-05-29,59.36120369999999,17.9608842,0.0
11,Trålgränd 6,Södermalm,Stockholm,7000000.0,78.0,Lägenhet,2025-05-29,59.3050593,18.0841583,0.0
12,Falkens väg 1A,Hällevadsholm,Munkedal,370000.0,80.7,Lägenhet,2025-05-29,58.58104729999999,11.5334615,0.0
13,Skeppargatan 21,Östermalm,Stockholm,6300000.0,35.0,Lägenhet,2025-05-29,59.3339368,18.0826537,0.0
14,Tideliusgränd 5,Södermalm,Stockholm,8500000.0,86.0,Lägenhet,2025-05-29,59.311113,18.0640046,0.0
15,Neptunusvägen 30,Mariebo,Jönköping,3500000.0,154.0,Lägenhet,2025-05-29,57.76928239999999,14.1364929,0.0
16,Ångkvarnsgatan 18,Industristaden,Uppsala,2600000.0,61.0,Lägenhet,2025-05-29,59.85079859999999,17.6505471,0.0
17,Fendergatan 6,Hammarby Sjöstad,Stockholm,4825000.0,55.0,Lägenhet,2025-05-29,59.3083856,18.1042156,0.0
18,Prostvägen 11,Hagastaden,Solna,4200000.0,70.0,Lägenhet,2025-05-29,59.35161699999999,18.022971,0.0
19,Storgatan 16,Centrala Vellinge,Vellinge,1520000.0,57.0,Lägenhet,2025-05-29,55.4721059,13.0149168,0.0
20,Orrstigen 10F,Saxtorp,Landskrona,9200000.0,350.0,Villa,2025-05-29,55.8340079,12.9345396,0.0
21,Älvkarleövägen 11,Hjorthagen,Stockholm,3045000.0,44.2,Lägenhet,2025-05-29,59.35377399999999,18.095223,0.0
22,Ramsjö Skogsväg 30,Järlåsa,Uppsala,1250000.0,47.0,Fritidshus,2025-05-29,59.85856380000001,17.6389267,0.0
23,Bronsåldersgatan 58,Ullstämma,Linköping,2550000.0,115.5,Parhus,2025-05-29,58.3709508,15.6696512,0.0
24,Tosterupsgatan 10,Djupadal,Malmö,5500000.0,153.0,Radhus,2025-05-29,55.5763174,12.9579301,0.0
25,Junibodsand 125,Junibosand,Sundsvall,1400000.0,71.0,Fritidshus,2025-05-29,62.2377895,17.6099569,0.0
26,Näsbydalsvägen 8,Näsbydal,Täby,3700000.0,97.5,Lägenhet,2025-05-29,59.4380537,18.0637955,0.0
27,Matrosvägen 7,Hällevik,Sölvesborg,1950000.0,77.0,Fritidshus,2025-05-29,56.0130736,14.6964159,0.0
28,Högalidsgatan 52C,Södermalm,Stockholm,4275000.0,35.0,Lägenhet,2025-05-29,59.31839720000001,18.0333921,0.0
29,Släggkastargatan 11,Rönnby,Västerås,750000.0,61.2,Lägenhet,2025-05-29,59.64922429999999,16.5119625,0.0
30,Lustgårdsgatan 16,Stadshagen,Stockholm,4550000.0,56.0,Lägenhet,2025-05-29,59.3365696,18.0124814,0.0
31,Fleminggatan 40E,Kungsholmen,Stockholm,6100000.0,67.0,Lägenhet,2025-05-29,59.3345825,18.0333889,0.0
32,Batterivägen 25,Lulsundet,Luleå,3453000.0,134.0,Kedjehus,2025-05-29,65.6064612,22.1805765,0.0
33,Hornsgatan 90,Södermalm Högalid,Stockholm,3000000.0,27.0,Lägenhet,2025-05-29,59.31790399999999,18.0531672,0.0
34,Skridskovägen 9D,Västertorp,Stockholm,8530000.0,123.0,Lägenhet,2025-05-29,59.29215660000001,17.9754125,0.0
0,Svenskbyvägen 14,Holmsund,Umeå,3500000.0,248.0,Villa,2025-05-29,63.7010468,20.3636629,0.0
1,Hugins väg 14,Kolla,Kungsbacka,4000000.0,97.0,Parhus,2025-05-29,57.48194669999999,12.0699063,0.0
2,Kämpegatan 53,Hönseberget,Uddevalla,1020000.0,62.0,Lägenhet,2025-05-29,58.349373,11.946904,0.0
3,Karl Martins väg 4,Petersberg,Vaxholm,1890000.0,60.0,Lägenhet,2025-05-29,59.4030792,18.3246062,0.0
4,Götgatan 73A,Södermalm,Stockholm,5535000.0,48.0,Lägenhet,2025-05-29,59.31137039999999,18.075149,0.0
5,Lindevägen 40,Enskede Gård,Stockholm,3700000.0,62.0,Lägenhet,2025-05-29,59.28825209999999,18.0773821,0.0
6,Selmedalsvägen 4,Hägerstenshamnen,Stockholm,5600000.0,79.0,Lägenhet,2025-05-29,59.3060491,17.9803866,0.0
7,Måflogsliden 7,Holländaröd,Lysekil,3200000.0,93.0,Fritidshus,2025-05-29,58.3792141,11.4575381,0.0
8,Stenströmsgatan 14C,Kålltorp,Göteborg,2850000.0,47.0,Lägenhet,2025-05-29,57.7119495,12.0206229,0.0
9,Lomvägen 25D,Sollentuna Kärrdal,Sollentuna,2450000.0,87.0,Lägenhet,2025-05-29,59.4306795,18.0001308,0.0
10,Ekdungsvägen 21,Lövekulle Skår,Alingsås,4050000.0,122.0,Lägenhet,2025-05-29,57.9191926,12.4859778,0.0
11,Geijersgatan 17A,Limhamn,Malmö,9225000.0,297.0,Villa,2025-05-29,55.5887557,12.944681,0.0
12,Västergöksvägen 85,Vällingby,Stockholm,5100000.0,124.0,Radhus,2025-05-29,59.3759275,17.8804207,0.0
13,Sturegatan 14,Sundbyberg,,2850000.0,34.0,Lägenhet,2025-05-29,59.86295999999999,17.6258069,0.0
14,Metargatan 13,Södermalm Sofia,Stockholm,4100000.0,38.0,Lägenhet,2025-05-29,59.30848779999999,18.0864083,0.0
15,Vackra Birgers väg 27,Gottsunda,Uppsala,1295000.0,66.0,Lägenhet,2025-05-29,59.8062447,17.6285726,0.0
16,Lekstorpsvägen 28B,Lekstorp,Lerum,1850000.0,109.0,Radhus,2025-05-29,57.8362303,12.28432,0.0
17,Rågvägen 4,Ljung,Herrljunga,1205000.0,213.0,Villa,2025-05-29,57.9851389,13.0633476,0.0
18,Frida Hjertbergs gata 14,Johanneberg,Göteborg,3650000.0,53.0,Lägenhet,2025-05-29,57.6879446,11.9863391,0.0
19,Sandgränd 2,Nälsta,Stockholm,9550000.0,138.0,Villa,2025-05-29,59.3724023,17.8797404,0.0
20,Myntgatan 53,Moröhöjden,Skellefteå,750000.0,40.0,Lägenhet,2025-05-29,64.7522932,21.0160407,0.0
21,Fänkålsgatan 1H,Hässlegården,Karlskrona,4050000.0,177.0,Villa,2025-05-29,56.2222576,15.6598025,0.0
22,Stationsgatan 49,Centrum,Luleå,1495000.0,52.0,Lägenhet,2025-05-29,65.5831572,22.154759,0.0
23,Drömgård Båstad,Båstad,,36000000.0,725.0,Gård,2025-05-29,56.4333027,12.8353785,0.0
24,Drevkroken 48,Gamla Solhem,Stockholm,9250000.0,164.0,Villa,2025-05-29,59.3799143,17.8873057,0.0
25,Ingenjörsgatan 26,Hyllie,Malmö,1560000.0,74.0,Lägenhet,2025-05-29,55.5784755,12.9964489,0.0
26,Tjurbergsgatan 34,Södermalm,Stockholm,2700000.0,26.0,Lägenhet,2025-05-29,59.3105914,18.0721816,0.0
27,Bokgången 56,Kölnans Fritidsby,Malmö,750000.0,50.0,Fritidshus,2025-05-29,55.604981,13.003822,0.0
28,Skogsvägen 56,Sandbergen,Mörbylånga,2350000.0,89.0,Villa,2025-05-29,56.5710737,16.4063256,0.0
29,Kullaviksvägen 7,Kullavik,Kungsbacka,4150000.0,68.0,Villa,2025-05-29,57.5469469,11.9636623,0.0
30,Nya Allén 6B,Centrum,Göteborg,7000000.0,130.0,Lägenhet,2025-05-29,57.7041557,11.9769653,0.0
31,Karen Blixens gata 7,Blackeberg,Stockholm,2650000.0,50.0,Lägenhet,2025-05-29,59.3462212,17.8741031,0.0
32,Grönalundsgatan 8A,Limhamn,Malmö,3450000.0,103.0,Lägenhet,2025-05-29,55.57727449999999,12.935245,0.0
33,Fredmansgatan 7,Södermalm,Stockholm,2600000.0,19.0,Lägenhet,2025-05-29,59.31673959999999,18.0670656,0.0
34,Älgörtsbacken 1,Ekhagen,Jönköping,3300000.0,163.0,Villa,2025-05-29,57.7735292,14.218539,0.0
0,Kristinebergsvägen 18,Kungsholmen,Stockholm,4900000.0,76.0,Lägenhet,2025-05-29,59.33377909999999,18.0139353,0.0
1,Märtavägen 3,Helgum,Sollefteå,1283000.0,125.0,Villa,2025-05-29,63.3005918,18.5997744,0.0
2,Malmkörarvägen 127,Vattholma,Uppsala,3410000.0,126.0,Villa,2025-05-29,60.016851,17.7387279,0.0
3,Smältverksgatan 112,Bäckby,Västerås,1400000.0,76.5,Lägenhet,2025-05-29,59.5964798,16.4729467,0.0
4,Ärtetan Elsegården 1,Kil,,900000.0,46.0,Fritidshus,2025-05-29,59.5957244,13.0111854,0.0
5,Bergsrundan 2,Ljusterö,Österåker,1475000.0,50.0,Fritidshus,2025-05-29,59.4811096,18.5280577,0.0
6,Sturegatan 7B,Centrum,Hjo,850000.0,60.0,Lägenhet,2025-05-29,58.3061828,14.2891502,0.0
